country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",07-04-2026 21:00,28.4417,77.3217,CO,30,64,61
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",07-04-2026 21:00,29.503664,75.467934,OZONE,29,78,67
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",07-04-2026 21:00,22.320153,73.216285,PM2.5,39,83,59
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",07-04-2026 21:00,22.320153,73.216285,NO2,1,3,1
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",07-04-2026 21:00,20.362421,72.918013,SO2,15,26,20
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",07-04-2026 21:00,22.969611,72.6435,PM2.5,83,313,143
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",07-04-2026 21:00,22.969611,72.6435,PM10,100,192,131
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",07-04-2026 21:00,22.969611,72.6435,NO2,32,75,56
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",07-04-2026 21:00,22.248853,70.776774,NO2,5,11,7
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",07-04-2026 21:00,22.248853,70.776774,SO2,6,13,10
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",07-04-2026 21:00,21.217779,72.834787,NO2,1,12,3
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",07-04-2026 21:00,21.217779,72.834787,NH3,NA,NA,NA
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",07-04-2026 21:00,21.217779,72.834787,CO,34,42,38
India,Gujarat,Surat,"Science Center, Surat - SMC",07-04-2026 21:00,21.170046,72.795405,SO2,17,21,19
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",07-04-2026 21:00,23.221714,72.654328,SO2,2,19,3
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",07-04-2026 21:00,23.221714,72.654328,CO,22,37,30
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",07-04-2026 21:00,23.59315,72.372792,NO2,32,49,40
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",07-04-2026 21:00,22.410802,73.097923,NO2,5,38,22
